time(millisecond);datetime(utc);latitude;longitude;height_above_takeoff(meters);height_above_ground_at_drone_location(meters);ground_elevation_at_drone_location(meters);altitude_above_seaLevel(meters);height_sonar(meters);speed(km/h);distance(meters);satellites;gpslevel;voltage(v);max_altitude(meters);max_ascent(meters);max_speed(km/h);max_distance(meters); xSpeed(km/h); ySpeed(km/h); zSpeed(km/h); compass_heading(degrees); pitch(degrees); roll(degrees);isPhoto;isVideo;rc_elevator;rc_aileron;rc_throttle;rc_rudder;gimbal_heading(degrees);gimbal_pitch(degrees);battery_percent;voltageCell1;voltageCell2;voltageCell3;voltageCell4;voltageCell5;voltageCell6;current(A);battery_temperature(c);altitude(meters);ascent(meters);flycStateRaw;flycState;message
0;25.08.2021 07:02;53,20753423;22,77306973;0;0;109,960495;109,960495;0,1;0;0;13;5;0;109,960495;0;0;0;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,1;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
100;25.08.2021 07:02;53,20753435;22,77307006;0;0;109,960495;109,960495;0,1;0;0,0252714;13;5;0;109,960495;0;0;0,0252714;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,1;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
200;25.08.2021 07:02;53,20753431;22,77307026;0;0;109,960495;109,960495;0,1;0;0,0361077;13;5;0;109,960495;0;0;0,0361077;0;0;0;92,90;8,6;-1,9;0;0;1024;1024;1024;1024;93,1;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
300;25.08.2021 07:02;53,20753427;22,77307046;0;0;109,960495;109,960495;0,1;0;0,0485749;13;5;0;109,960495;0;0;0,0485749;0;0;0;92,90;8,6;-1,9;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
400;25.08.2021 07:02;53,20753422;22,7730706;0;-0,01;109,970495;109,960495;0,1;0;0,0575759;13;5;0;109,960495;0;0;0,0575759;0;0;0;92,90;8,6;-1,9;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
500;25.08.2021 07:02;53,20753419;22,77307079;0;-0,01;109,970495;109,960495;0,1;0;0,0703255;13;5;0;109,960495;0;0;0,0703255;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
600;25.08.2021 07:02;53,20753428;22,77307097;0;-0,01;109,970495;109,960495;0,1;0;0,0824127;13;5;0;109,960495;0;0;0,0824127;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
700;25.08.2021 07:02;53,20753426;22,77307115;0;-0,01;109,970495;109,960495;0,1;0;0,0943305;13;5;0;109,960495;0;0;0,0943305;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
800;25.08.2021 07:02;53,20753418;22,77307135;0;-0,01;109,970495;109,960495;0,1;0;0,107684;13;5;0;109,960495;0;0;0,107684;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;Setting new Return-To-Home altitude to 30m (98 ft), Data Recorder File Index is 16, Setting new Maximum Flight Altitude to 120m (394 ft)
900;25.08.2021 07:02;53,20753415;22,77307152;0;-0,01;109,970495;109,960495;0,1;0;0,119011;13;5;11,921;109,960495;0;0;0,119011;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
